year,aez,hybrid,sex,mar_stat,age,fam_exp,educ_yrs,hh_size,maize_area_ha,fert_use,maize_qua_kh,credit_acc,acc_ext,acc_ext_past,max_2m_air_temp_yr,precipitation_yr,dis_market_min,ext_km,Admin_1
2010,Coastal Lowland,1,1,0,54,5,9,10,0.405000001,0,1111.111084,0,0,1,34.83562851,907.3843994,0,0.5,Mombasa
2013,Coastal Lowland,0,1,0,56,7,11,10,0.810000002,0,283.9506226,0,1,1,34.86555862,709.0606079,0,0.5,Mombasa
2010,Coastal Lowland,0,1,0,58,8,0,6,2.430000067,0,296.2962952,0,0,1,34.83562851,907.3843994,10,7,Mombasa
2013,Coastal Lowland,1,1,0,60,10,0,11,2.936249971,0,588.5057373,0,1,1,34.86555862,709.0606079,10,7,Mombasa
2010,Coastal Lowland,1,0,2,48,8,0,8,0.405000001,0,155.5555573,1,0,1,34.83562851,907.3843994,10,4,Mombasa
2013,Coastal Lowland,1,0,2,48,10,0,5,1.620000005,0,555.555542,1,0,1,34.86555862,709.0606079,10,4,Mombasa
2010,Coastal Lowland,1,1,1,57,18,5,5,0.405000001,1,111.1111145,0,0,1,34.83562851,907.3843994,15,3,Mombasa
2013,Coastal Lowland,1,1,0,59,20,7,10,2.430000067,0,74.07407379,0,0,1,34.86555862,709.0606079,15,3,Mombasa
2010,Coastal Lowland,1,1,0,54,28,2,14,0.810000002,1,3888.888916,1,0,1,34.59518051,909.947937,10,25,Kwale
2013,Coastal Lowland,1,1,0,56,30,0,13,3.644999981,0,641.9753418,1,0,1,34.48880005,772.6005249,10,25,Kwale
2010,Coastal Lowland,1,1,0,29,7,12,7,2.632499933,0,205.1282043,1,0,0,35.44269943,729.3748779,30,5,Kwale
2013,Coastal Lowland,0,1,0,23,10,12,6,1.012500048,0,69.13579559,1,0,0,36.90739822,581.8555298,30,5,Kwale
2010,Coastal Lowland,1,1,0,50,33,5,6,1.215000033,0,592.5925903,0,0,1,35.44269943,729.3748779,30,10,Kwale
2013,Coastal Lowland,1,1,0,52,35,7,12,4.252500057,0,658.4362183,1,1,1,36.90739822,581.8555298,30,10,Kwale
2010,Coastal Lowland,0,1,0,58,28,7,4,3.24000001,0,611.111084,1,0,1,35.44269943,729.3748779,30,30,Kwale
2013,Coastal Lowland,0,1,0,60,30,8,12,1.620000005,0,333.3333435,1,1,1,36.90739822,581.8555298,30,30,Kwale
2010,Coastal Lowland,0,1,0,58,3,7,8,1.620000005,0,1388.888916,0,0,1,34.59518051,909.947937,30,30,Kwale
2013,Coastal Lowland,1,1,0,60,5,7,8,1.82249999,0,296.2962952,0,0,1,34.48880005,772.6005249,30,30,Kwale
