"X","hhid","hhid_2010","year","aez","lat","lon","maize_area_ha_sw","maize_pro_sw","maize_qua_sw_kh","fert_qua_sw","fert_qua_sw_kh","hybrid","farm_income","total_income","sex","mar_stat","age","fam_exp","educ_hoh","hh_size","ad_equ_oecd_mod","HFIAS","HFIA","maize_area_ha","maize_pro","fert_use","fert_qua","fert_qua_kh","maize_qua_kh","e5","e6","credit_acc_hh_sc","acc_ext","heard_new_var","acc_ext_past","heard_new_var_past","overall_match","identification","match_pr_anh","acc_cred","maximum_2m_air_temperature_year","minimum_2m_air_temperature_year","total_precipitation_year","dismarket_km","dismarket_min","ext_km","ext_min","keep_hh","school","mysample","total_income_log","Qair_f_inst_mean_year","Admin_1"
1,10101,601025,2010,"Coastal Lowland",-4.102419853,39.64258957,0.2025000006,242.4365997,1197.217773,0,0,1,1500,61500,1,0,54,5,9,10,5.300000191,0,1,0.4050000012,450,0,0,0,1111.111084,1,1,0,0,1,1,0,11,1,1,NA,34.83562851,19.32085991,907.3843994,0,0,0.5,8,1,1,1,11.02679253,1.687502503,"Mombasa"
2,10101,NA,2013,"Coastal Lowland",-4.102419853,39.64258957,0.4050000012,123.395401,304.6799927,0,0,0,52700,386450,1,0,56,7,11,10,5.300000191,4,3,0.8100000024,230,0,0,0,283.9506226,NA,NA,0,1,NA,1,NA,11,1,1,1,34.86555862,19.35622978,709.0606079,0,0,0.5,8,1,1,1,12.86475754,1.679636121,"Mombasa"
3,10102,601026,2010,"Coastal Lowland",-4.103710175,39.63890839,1.215000033,383.2488098,315.4311218,0,0,0,92000,140000,1,0,58,8,0,6,2.700000048,0,1,2.430000067,720,0,0,0,296.2962952,NA,1,0,0,1,1,0,8,1,1,NA,34.83562851,19.32085991,907.3843994,0.6,10,7,105,1,0,1,11.84939766,1.687502503,"Mombasa"
4,10102,NA,2013,"Coastal Lowland",-4.103710175,39.63890839,1.461586237,766.3549805,524.3309937,0,0,1,107500,131500,1,0,60,10,0,11,5,13,4,2.936249971,1728,0,0,0,588.5057373,NA,NA,0,1,NA,1,NA,8,1,1,0,34.86555862,19.35622978,709.0606079,0.6,10,7,105,1,0,1,11.78676224,1.679636121,"Mombasa"
5,10106,601030,2010,"Coastal Lowland",-4.105249882,39.63547134,0.2025000006,33.24365997,164.166214,0,0,1,0,43100,0,2,48,8,0,8,3.700000048,15,4,0.4050000012,63,0,0,0,155.5555573,NA,1,1,0,0,1,1,11,1,1,NA,34.83562851,19.32085991,907.3843994,0.6,10,4,60,1,0,1,10.671278,1.687502503,"Mombasa"
6,10106,NA,2013,"Coastal Lowland",-4.105249882,39.63547134,0.8100000024,461.6243896,569.9066772,0,0,1,15300,181700,0,2,48,10,0,5,2.799999952,0,1,1.620000005,900,0,0,0,555.555542,NA,NA,1,0,NA,1,NA,11,1,1,1,34.86555862,19.35622978,709.0606079,0.6,10,4,60,1,0,1,12.11011219,1.679636121,"Mombasa"
7,10107,601028,2010,"Coastal Lowland",-4.110919952,39.63161087,0.2286549062,25.40610123,111.1111145,14.114501,61.72839737,1,1600,121600,1,1,57,18,5,5,3,0,1,0.4050000012,45,1,25,61.72839355,111.1111145,1,1,0,0,0,1,1,10,1,2,NA,34.83562851,19.32085991,907.3843994,1,15,3,45,1,1,1,11.70849228,1.687502503,"Mombasa"
8,10107,NA,2013,"Coastal Lowland",-4.110919952,39.63161087,1.215000033,78.37559509,64.50666046,0,0,1,0,152500,1,0,59,20,7,10,4.699999809,6,2,2.430000067,180,0,0,0,74.07407379,NA,NA,0,0,NA,1,NA,10,1,2,0,34.86555862,19.35622978,709.0606079,1,15,3,45,1,1,1,11.93492031,1.679636121,"Mombasa"
9,10201,602019,2010,"Coastal Lowland",-4.332009792,39.25630951,0.4573098123,1778.427124,3888.88916,28.229002,61.72839737,1,170000,180000,1,0,54,28,2,14,6.300000191,8,3,0.8100000024,3150,1,50,61.72839355,3888.888916,1,1,1,0,0,1,1,11,1,1,NA,34.59518051,19.21719933,909.947937,0.13,10,25,300,1,1,1,12.10071182,1.562221408,"Kwale"
10,10201,NA,2013,"Coastal Lowland",-4.332009792,39.25630951,1.900964737,1146.751221,603.2469482,0,0,1,2e+05,206000,1,0,56,30,0,13,5.800000191,17,4,3.644999981,2340,0,0,0,641.9753418,NA,NA,1,0,NA,1,NA,11,1,1,0,34.48880005,19.1364994,772.6005249,0.13,10,25,300,1,0,1,12.23563099,1.53335309,"Kwale"
